device,date,relative_path,file_kind,total_hits,axis_count,top_file_share_pct,trial_ab,cloud_trust,policy_restriction,backup_manifest,telecom_wifi_proximity,daemon_seam,evidence_pressure,lateral_trust,shadow_cloud_terms
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180218.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.00010.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.00011.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.00014.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.00013.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.00012.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.000.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.00015.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.00018.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.00017.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.00016.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.0002.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.0005.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.0003.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.0004.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.0006.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.0007.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.0008.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.0009.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/xp_amp_skad_perf-2025-08-04-180219.ips,Other,2,2,0.006,0,0,0,0,0,0,1,1,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/SFA-networking.json-2025-08-04-071756.ips,SFA_CKKS_CloudServices,1,1,0.003,0,0,0,0,0,0,1,0,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/SFA-sos.json-2025-08-04-071756.0002.ips,SFA_CKKS_CloudServices,1,1,0.003,0,0,0,0,0,0,1,0,0
EXT_NO_CONTACT_A,2025-08-04,EXT_NO_CONTACT_A/2025/08/4/SFA-sos.json-2025-08-04-013713.000.ips,SFA_CKKS_CloudServices,1,1,0.003,0,0,0,0,0,0,1,0,0
