device,date,role,raw_trial_ab,trial_source_file_count,triald_direct_file_count,is_core_date
USER_DEVICE_12G,2025-08-07,USER_CLUSTER_SUPPORT,928,38,2,NO
USER_DEVICE_MINI2,2025-08-07,USER_CLUSTER_SUPPORT,311,5,3,NO
USER_DEVICE_11PRO,2025-08-07,USER_CLUSTER_SUPPORT,59,4,0,NO
EXT_NO_CONTACT_A,2025-08-07,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,246,7,0,NO
EXT_UNCERTAIN_B,2025-08-07,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,280,5,2,NO
EXT_REMOTE_GEO_C,2025-08-07,EXTERNAL_GEO_SEPARATED,120,18,1,NO
EXT_CONTACT_D,2025-08-07,EXTERNAL_CONTACT_KNOWN,250,6,1,NO
EXT_CONTACT_E_12PROMAX,2025-08-07,EXTERNAL_CONTACT_KNOWN,158,34,0,NO
USER_ORIGIN_MINI1,2025-08-08,ORIGIN_CORE,2140,5,1,NO
USER_BRIDGE_15G,2025-08-08,BRIDGE_TO_LATER_JOKER,64,7,1,NO
USER_DEVICE_12G,2025-08-08,USER_CLUSTER_SUPPORT,874,32,2,NO
USER_DEVICE_MINI2,2025-08-08,USER_CLUSTER_SUPPORT,336,11,3,NO
USER_DEVICE_11PRO,2025-08-08,USER_CLUSTER_SUPPORT,309,3,1,NO
EXT_NO_CONTACT_A,2025-08-08,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,490,8,2,NO
EXT_UNCERTAIN_B,2025-08-08,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,171,5,1,NO
EXT_REMOTE_GEO_C,2025-08-08,EXTERNAL_GEO_SEPARATED,116,21,0,NO
EXT_CONTACT_D,2025-08-08,EXTERNAL_CONTACT_KNOWN,92,4,0,NO
EXT_CONTACT_E_12PROMAX,2025-08-08,EXTERNAL_CONTACT_KNOWN,122,27,0,NO
USER_ORIGIN_MINI1,2025-08-09,ORIGIN_CORE,2849,11,2,NO
USER_BRIDGE_15G,2025-08-09,BRIDGE_TO_LATER_JOKER,254,13,1,NO
USER_DEVICE_12G,2025-08-09,USER_CLUSTER_SUPPORT,225,22,1,NO
USER_DEVICE_MINI2,2025-08-09,USER_CLUSTER_SUPPORT,398,13,3,NO
USER_DEVICE_11PRO,2025-08-09,USER_CLUSTER_SUPPORT,274,5,1,NO
EXT_NO_CONTACT_A,2025-08-09,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,122,6,0,NO
EXT_UNCERTAIN_B,2025-08-09,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,142,6,1,NO
EXT_REMOTE_GEO_C,2025-08-09,EXTERNAL_GEO_SEPARATED,41,9,0,NO
EXT_CONTACT_D,2025-08-09,EXTERNAL_CONTACT_KNOWN,179,13,1,NO
EXT_CONTACT_E_12PROMAX,2025-08-09,EXTERNAL_CONTACT_KNOWN,80,19,0,NO
EXT_CONTACT_E_6SPLUS,2025-08-09,EXTERNAL_CONTACT_KNOWN,6,1,0,NO
USER_ORIGIN_MINI1,2025-08-10,ORIGIN_CORE,1964,9,1,NO
USER_BRIDGE_15G,2025-08-10,BRIDGE_TO_LATER_JOKER,185,7,1,NO
USER_DEVICE_12G,2025-08-10,USER_CLUSTER_SUPPORT,278,11,1,NO
USER_DEVICE_MINI2,2025-08-10,USER_CLUSTER_SUPPORT,127,8,3,NO
USER_DEVICE_11PRO,2025-08-10,USER_CLUSTER_SUPPORT,46,4,0,NO
EXT_NO_CONTACT_A,2025-08-10,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,359,11,2,NO
EXT_UNCERTAIN_B,2025-08-10,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,295,9,1,NO
EXT_REMOTE_GEO_C,2025-08-10,EXTERNAL_GEO_SEPARATED,22,4,0,NO
EXT_CONTACT_D,2025-08-10,EXTERNAL_CONTACT_KNOWN,318,11,2,NO
EXT_CONTACT_E_12PROMAX,2025-08-10,EXTERNAL_CONTACT_KNOWN,119,24,0,NO
EXT_CONTACT_E_6SPLUS,2025-08-10,EXTERNAL_CONTACT_KNOWN,7,2,0,NO
