seq,timestamp,device,role,event_kind,trial_ab_hits,daemon_seam_hits,preferred_path
1,2025-08-04 00:14:02,USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,PROACTIVE_TRIALD_DIRECT,8,3,USER_BRIDGE_15G/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-001402.ips
2,2025-08-04 04:30:30,USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,33,15,USER_DEVICE_MINI2/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-043030.ips
3,2025-08-04 04:54:42,USER_ORIGIN_MINI1,ORIGIN_CORE,PROACTIVE_TRIALD_DIRECT,294,127,USER_ORIGIN_MINI1/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-045442.ips
4,2025-08-04 05:31:36,USER_DEVICE_12G,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,82,38,USER_DEVICE_12G/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-053136.ips
5,2025-08-04 05:40:38,EXT_UNCERTAIN_B,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,PROACTIVE_TRIALD_DIRECT,116,52,EXT_UNCERTAIN_B/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-054038.ips
6,2025-08-04 18:35:47,EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,PROACTIVE_TRIALD_DIRECT,173,79,Ha Thao/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-183547.ips
7,2025-08-04 21:25:17,USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,527,260,USER_DEVICE_11PRO/2025/08/4/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-04-212517.ips
8,2025-08-04 21:37:02,EXT_REMOTE_GEO_C,EXTERNAL_GEO_SEPARATED,TRIALD_CPU_RESOURCE_DIRECT,71,6,EXT_REMOTE_GEO_C/2025/08/4/triald.cpu_resource-2025-08-04-213702.ips
