timestamp,date,device,role,event_kind,trial_ab_hits,daemon_seam_hits,evidence_pressure_hits,cloud_trust_hits,axis_count,axis_summary,duplicate_path_count,preferred_path,all_paths,basename,source_root_label,raw_axis_rows
2025-08-02 04:28:24,2025-08-02,USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,PROACTIVE_TRIALD_DIRECT,53,20,1,0,3,daemon_seam:20;evidence_pressure:1;trial_ab:53,1,USER_BRIDGE_15G/2025/08/2/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-042824.ips,USER_BRIDGE_15G/2025/08/2/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-042824.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-042824.ips,my_device_logs,3
2025-08-02 06:37:02,2025-08-02,USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,98,44,1,0,3,daemon_seam:44;evidence_pressure:1;trial_ab:98,3,USER_DEVICE_MINI2/2025/08/2/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-063702.ips,USER_DEVICE_MINI2/2025/08/2/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-063702.ips | 退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/2/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-063702.ips | 退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-063702.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-063702.ips,my_device_logs,9
2025-08-02 20:48:37,2025-08-02,USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,599,293,1,0,3,daemon_seam:293;evidence_pressure:1;trial_ab:599,1,USER_DEVICE_11PRO/2025/08/2/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-204837.ips,USER_DEVICE_11PRO/2025/08/2/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-204837.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-204837.ips,my_device_logs,3
2025-08-02 22:23:02,2025-08-02,EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,PROACTIVE_TRIALD_DIRECT,194,87,1,0,3,daemon_seam:87;evidence_pressure:1;trial_ab:194,1,Ha Thao/2025/08/2/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-222302.ips,Ha Thao/2025/08/2/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-222302.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-222302.ips,friend_device_logs,3
2025-08-03 00:09:56,2025-08-03,USER_ORIGIN_MINI1,ORIGIN_CORE,PROACTIVE_TRIALD_DIRECT,338,134,1,9,4,cloud_trust:9;daemon_seam:134;evidence_pressure:1;trial_ab:338,1,USER_ORIGIN_MINI1/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-000956.ips,USER_ORIGIN_MINI1/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-000956.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-000956.ips,my_device_logs,4
2025-08-03 02:06:17,2025-08-03,USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,PROACTIVE_TRIALD_DIRECT,59,24,1,0,3,daemon_seam:24;evidence_pressure:1;trial_ab:59,1,USER_BRIDGE_15G/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-020617.ips,USER_BRIDGE_15G/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-020617.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-020617.ips,my_device_logs,3
2025-08-03 09:18:50,2025-08-03,USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,146,64,1,0,3,daemon_seam:64;evidence_pressure:1;trial_ab:146,3,USER_DEVICE_MINI2/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-091850.ips,USER_DEVICE_MINI2/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-091850.ips | 退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-091850.ips | 退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-091850.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-091850.ips,my_device_logs,9
2025-08-03 10:53:21,2025-08-03,USER_DEVICE_12G,USER_CLUSTER_SUPPORT,PROACTIVE_TRIALD_DIRECT,60,29,1,0,3,daemon_seam:29;evidence_pressure:1;trial_ab:60,2,USER_DEVICE_12G/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-105321.ips,USER_DEVICE_12G/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-105321.ips | 退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-03/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-105321.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-105321.ips,my_device_logs,6
2025-08-03 18:17:19,2025-08-03,EXT_NO_CONTACT_A,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,PROACTIVE_TRIALD_DIRECT,79,35,1,0,3,daemon_seam:35;evidence_pressure:1;trial_ab:79,1,EXT_NO_CONTACT_A/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-181719.ips,EXT_NO_CONTACT_A/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-181719.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-181719.ips,friend_device_logs,3
2025-08-03 20:27:11,2025-08-03,EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,PROACTIVE_TRIALD_DIRECT,50,23,1,0,3,daemon_seam:23;evidence_pressure:1;trial_ab:50,1,Ha Thao/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-202711.ips,Ha Thao/2025/08/3/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-202711.ips,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-03-202711.ips,friend_device_logs,3
