device,date,timestamp,event_kind,basename,duplicate_path_count,preferred,path,axis_summary_for_path
USER_DEVICE_12G,2025-08-01,2025-08-01 02:11:14,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-01-021114.ips,2,YES,USER_DEVICE_12G/2025/08/1/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-01-021114.ips,daemon_seam:58;evidence_pressure:1;trial_ab:120
USER_DEVICE_12G,2025-08-01,2025-08-01 02:11:14,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-01-021114.ips,2,NO,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-01/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-01-021114.ips,daemon_seam:58;evidence_pressure:1;trial_ab:120
USER_DEVICE_MINI2,2025-08-01,2025-08-01 03:46:23,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-01-034623.ips,3,YES,USER_DEVICE_MINI2/2025/08/1/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-01-034623.ips,daemon_seam:14;evidence_pressure:1;trial_ab:30
USER_DEVICE_MINI2,2025-08-01,2025-08-01 03:46:23,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-01-034623.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/1/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-01-034623.ips,daemon_seam:14;evidence_pressure:1;trial_ab:30
USER_DEVICE_MINI2,2025-08-01,2025-08-01 03:46:23,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-01-034623.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-01-034623.ips,daemon_seam:14;evidence_pressure:1;trial_ab:30
USER_DEVICE_12G,2025-08-02,2025-08-02 02:13:25,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-021325.ips,2,YES,USER_DEVICE_12G/2025/08/2/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-021325.ips,daemon_seam:66;evidence_pressure:1;trial_ab:139
USER_DEVICE_12G,2025-08-02,2025-08-02 02:13:25,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-021325.ips,2,NO,退避フォルダ/USER_DEVICE_12G/ID移植後の挙動-2025-0731_0808/2025-08-02/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-021325.ips,daemon_seam:66;evidence_pressure:1;trial_ab:139
USER_DEVICE_MINI2,2025-08-02,2025-08-02 06:37:02,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-063702.ips,3,YES,USER_DEVICE_MINI2/2025/08/2/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-063702.ips,daemon_seam:44;evidence_pressure:1;trial_ab:98
USER_DEVICE_MINI2,2025-08-02,2025-08-02 06:37:02,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-063702.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/2/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-063702.ips,daemon_seam:44;evidence_pressure:1;trial_ab:98
USER_DEVICE_MINI2,2025-08-02,2025-08-02 06:37:02,PROACTIVE_TRIALD_DIRECT,proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-063702.ips,3,NO,退避フォルダ/USER_DEVICE_MINI2/2025/欠落あり08/proactive_event_tracker-com_apple_Trial-com_apple_triald-2025-08-02-063702.ips,daemon_seam:44;evidence_pressure:1;trial_ab:98
