origin_device,origin_date,follower_device,follower_date,lag_days,origin_final_tier,follower_final_tier,origin_score,follower_score,pair_score,follower_role,follower_raw_axes_present,follower_csv_axes_present,support_class
USER_ORIGIN_MINI1,2025-08-01,USER_BRIDGE_15G,2025-08-03,2,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.317,321.486,431.565,BRIDGE_TO_LATER_JOKER,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-06,EXT_UNCERTAIN_B,2025-08-08,2,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,317.748,340.032,431.469,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-03,USER_DEVICE_MINI2,2025-08-05,2,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.553,329.867,430.005,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-03,EXT_CONTACT_D,2025-08-03,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.553,329.798,429.936,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-01,EXT_CONTACT_D,2025-08-03,2,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.317,329.798,429.877,EXTERNAL_CONTACT_KNOWN,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-01,EXT_UNCERTAIN_B,2025-08-01,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.317,317.72,429.799,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,8,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-04,USER_BRIDGE_15G,2025-08-04,0,A_CROSS_CORE_0804,A_CROSS_CORE_0804,420.684,306.626,429.797,BRIDGE_TO_LATER_JOKER,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-02,USER_BRIDGE_15G,2025-08-04,2,B_RAW_WINDOW_SUPPORT,A_CROSS_CORE_0804,420.325,306.626,429.707,BRIDGE_TO_LATER_JOKER,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-01,USER_DEVICE_MINI2,2025-08-01,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.317,329.131,429.21,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-03,EXT_UNCERTAIN_B,2025-08-03,0,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.553,315.754,427.892,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-01,EXT_UNCERTAIN_B,2025-08-03,2,B_RAW_WINDOW_SUPPORT,B_RAW_WINDOW_SUPPORT,400.317,315.754,427.833,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,9,9,RAW_AND_CSV_RESULT_SUPPORT
USER_ORIGIN_MINI1,2025-08-03,USER_DEVICE_MINI2,2025-08-04,1,B_RAW_WINDOW_SUPPORT,A_CROSS_CORE_0804,400.553,318.885,427.023,USER_CLUSTER_SUPPORT,9,9,RAW_AND_CSV_RESULT_SUPPORT
