device,date,csv_support_score,csv_axes_present,csv_total_hits,csv_trial_ab,csv_cloud_trust,csv_policy_restriction,csv_backup_manifest,csv_telecom_wifi_proximity,csv_daemon_seam,csv_evidence_pressure,csv_lateral_trust,csv_shadow_cloud_terms
EXT_CONTACT_D,2025-08-05,166.04,9,29215,2623,4510,2122,4083,3362,1635,5117,295,5468
EXT_CONTACT_E_12PROMAX,2025-08-05,172.803,9,154045,19902,21094,17740,19780,21258,4897,24807,1197,23370
EXT_CONTACT_E_6SPLUS,2025-08-05,2.576,1,2,0,0,0,0,0,0,2,0,0
CONTROL_OR_GENERIC_EXTERNAL,2025-08-05,49.697,6,92,6,36,0,4,6,6,34,0,0
USER_ORIGIN_MINI1,2025-08-06,174.076,9,123534,10488,13987,6651,12836,15563,11129,26103,13482,13295
USER_BRIDGE_15G,2025-08-06,170.853,9,57011,6651,6479,1941,6120,14055,3047,11124,3511,4083
USER_DEVICE_12G,2025-08-06,170.293,9,69682,6866,12730,3986,11474,9754,1986,12414,3937,6535
USER_DEVICE_MINI2,2025-08-06,172.015,9,48882,4465,8125,1400,6796,5096,5039,11381,1038,5542
USER_DEVICE_11PRO,2025-08-06,170.721,9,38967,4544,5224,2834,5368,5700,2909,6873,1709,3806
LOW_EXPOSURE_IPAD,2025-08-06,16.059,4,18,0,2,0,2,0,0,8,6,0
EXT_UNCERTAIN_B,2025-08-06,163.651,9,27192,1778,4561,1618,2727,2797,2547,5632,125,5407
EXT_REMOTE_GEO_C,2025-08-06,164.131,9,19295,2828,2089,1556,1718,2971,1056,3166,265,3646
EXT_CONTACT_D,2025-08-06,164.565,9,25681,2380,3454,2102,2834,3117,1370,5098,215,5111
EXT_CONTACT_E_12PROMAX,2025-08-06,170.591,9,97464,12514,12386,11801,10882,14040,3876,16377,578,15010
CONTROL_OR_GENERIC_EXTERNAL,2025-08-06,47.568,6,92,8,24,0,2,2,12,44,0,0
USER_ORIGIN_MINI1,2025-08-07,174.313,9,131390,10447,12903,4718,10911,15167,10163,27250,12880,26951
USER_BRIDGE_15G,2025-08-07,172.091,9,82037,6474,11319,3437,11655,17904,4988,14371,5366,6523
USER_DEVICE_12G,2025-08-07,173.667,9,146599,15152,22458,9947,20826,20749,9028,26095,9061,13283
USER_DEVICE_MINI2,2025-08-07,162.461,9,21589,1170,3589,161,3907,1960,1623,5521,1405,2253
USER_DEVICE_11PRO,2025-08-07,168.73,9,22759,2459,2602,1270,3254,3509,1658,4549,1192,2266
LOW_EXPOSURE_IPAD,2025-08-07,9.888,2,12,0,0,0,0,0,0,6,6,0
EXT_UNCERTAIN_B,2025-08-07,157.512,9,13853,1073,1740,752,1132,1104,2171,3112,61,2708
EXT_REMOTE_GEO_C,2025-08-07,167.804,9,32881,4567,3689,2942,3542,4687,1637,5748,477,5592
EXT_CONTACT_D,2025-08-07,165.824,9,33293,3257,4790,2397,3763,4040,1853,6420,204,6569
EXT_CONTACT_E_12PROMAX,2025-08-07,173.344,9,175605,23063,24947,17497,19097,25979,6141,30188,1010,27683
EXT_CONTACT_E_6SPLUS,2025-08-07,7.14,1,20,0,0,0,0,0,0,20,0,0
CONTROL_OR_GENERIC_EXTERNAL,2025-08-07,41.682,5,128,8,48,0,6,0,16,50,0,0
USER_ORIGIN_MINI1,2025-08-08,173.543,9,82677,6072,9275,3090,7616,8205,8730,18799,8859,12031
USER_BRIDGE_15G,2025-08-08,171.016,9,49785,4174,7059,2275,6667,11235,3219,8198,2470,4488
USER_DEVICE_12G,2025-08-08,171.512,9,65701,7553,9929,1206,7326,11050,3676,13363,4876,6722
USER_DEVICE_MINI2,2025-08-08,170.172,9,25676,2278,2657,924,3290,3368,3638,5157,1742,2622
USER_DEVICE_11PRO,2025-08-08,169.068,9,27941,2523,3030,1240,3056,4671,2783,6359,692,3587
LOW_EXPOSURE_IPAD,2025-08-08,59.935,8,60,6,6,6,6,6,6,12,12,0
EXT_UNCERTAIN_B,2025-08-08,158.055,9,17787,1344,2380,1063,1094,1677,2576,3880,42,3731
EXT_REMOTE_GEO_C,2025-08-08,168.416,9,41461,5852,4924,4211,4026,5888,2118,7103,475,6864
EXT_CONTACT_D,2025-08-08,163.773,9,20759,2011,2865,1757,2209,2559,1618,3894,183,3663
EXT_CONTACT_E_12PROMAX,2025-08-08,170.586,9,92211,12186,12516,10504,10818,12950,4020,14805,572,13840
EXT_CONTACT_E_6SPLUS,2025-08-08,3.774,1,4,0,0,0,0,0,0,4,0,0
CONTROL_OR_GENERIC_EXTERNAL,2025-08-08,47.435,6,94,6,12,0,2,4,14,56,0,0
USER_ORIGIN_MINI1,2025-08-09,174.797,9,215578,14128,26386,10096,45818,24056,13597,40185,17990,23322
USER_BRIDGE_15G,2025-08-09,171.766,9,76996,7279,10627,4219,10310,16351,4237,13090,4424,6459
USER_DEVICE_12G,2025-08-09,172.216,9,75876,8381,11258,2098,11264,11692,5291,13090,6165,6637
