device,date,role,raw_tier,raw_score,raw_axes_present,raw_total_axis_hits,raw_trial_ab,raw_cloud_trust,raw_policy_restriction,raw_backup_manifest,raw_telecom_wifi_proximity,raw_daemon_seam,raw_evidence_pressure,raw_lateral_trust,raw_shadow_cloud_terms
USER_DEVICE_MINI2,2025-08-04,USER_CLUSTER_SUPPORT,A_RAW_CORE_0804,245.759,9,1929,156,1251,21,24,114,141,141,27,54
USER_DEVICE_11PRO,2025-08-04,USER_CLUSTER_SUPPORT,A_RAW_CORE_0804,288.636,9,4240,557,832,10,911,681,308,881,32,28
EXT_NO_CONTACT_A,2025-08-04,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,A_RAW_CORE_0804,318.67,9,34080,77,5446,12,6779,2884,297,5845,12692,48
EXT_UNCERTAIN_B,2025-08-04,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,A_RAW_CORE_0804,270.681,9,3816,228,687,9,27,1679,184,883,78,41
EXT_REMOTE_GEO_C,2025-08-04,EXTERNAL_GEO_SEPARATED,A_RAW_CORE_0804,243.015,9,892,133,96,28,98,102,127,240,49,19
EXT_CONTACT_D,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_RAW_CORE_0804,264.22,9,2951,328,1407,13,28,255,157,592,43,128
EXT_CONTACT_E_12PROMAX,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_RAW_CORE_0804,288.239,9,9254,134,7653,168,183,152,382,333,248,1
EXT_CONTACT_E_6SPLUS,2025-08-04,EXTERNAL_CONTACT_KNOWN,A_RAW_CORE_0804,212.423,8,1019,6,27,10,536,103,44,264,29,0
USER_ORIGIN_MINI1,2025-08-05,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,338.158,9,18659,2573,2432,34,290,5280,2001,5165,865,19
USER_BRIDGE_15G,2025-08-05,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,269.639,9,2636,273,1214,19,65,301,159,443,48,114
USER_DEVICE_12G,2025-08-05,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,237.123,8,1944,598,765,14,24,26,362,129,26,0
USER_DEVICE_MINI2,2025-08-05,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,263.967,9,2679,369,1332,18,33,207,303,330,36,51
USER_DEVICE_11PRO,2025-08-05,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,173.744,8,589,288,9,0,3,60,135,63,6,25
EXT_NO_CONTACT_A,2025-08-05,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,B_RAW_WINDOW_SUPPORT,258.505,9,2065,317,872,18,35,339,166,236,29,53
EXT_UNCERTAIN_B,2025-08-05,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,255.935,9,2527,107,399,9,24,997,77,809,62,43
EXT_REMOTE_GEO_C,2025-08-05,EXTERNAL_GEO_SEPARATED,B_RAW_WINDOW_SUPPORT,224.451,9,544,58,57,28,76,78,83,111,31,22
EXT_CONTACT_D,2025-08-05,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,274.136,9,3166,267,1527,14,225,273,135,549,43,133
EXT_CONTACT_E_12PROMAX,2025-08-05,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,307.202,9,13620,326,10812,128,308,305,530,965,232,14
EXT_CONTACT_E_6SPLUS,2025-08-05,EXTERNAL_CONTACT_KNOWN,D_WEAK_OR_GENERIC,171.579,8,664,0,27,11,411,113,53,40,8,1
USER_ORIGIN_MINI1,2025-08-06,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,245.821,9,3398,20,2136,14,57,91,864,160,49,7
USER_BRIDGE_15G,2025-08-06,BRIDGE_TO_LATER_JOKER,B_RAW_WINDOW_SUPPORT,251.234,9,1770,330,418,7,25,348,113,370,42,117
USER_DEVICE_12G,2025-08-06,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,304.987,9,6007,473,1700,16,1166,917,257,1301,89,88
USER_DEVICE_MINI2,2025-08-06,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,252.684,9,2024,394,688,8,71,114,436,254,19,40
USER_DEVICE_11PRO,2025-08-06,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,296.489,9,5245,303,1833,34,1024,742,237,1016,53,3
EXT_NO_CONTACT_A,2025-08-06,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,B_RAW_WINDOW_SUPPORT,230.974,9,1222,80,769,12,28,83,84,125,31,10
EXT_UNCERTAIN_B,2025-08-06,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,279.903,9,3250,316,750,10,110,867,288,795,79,35
EXT_REMOTE_GEO_C,2025-08-06,EXTERNAL_GEO_SEPARATED,B_RAW_WINDOW_SUPPORT,226.366,9,558,59,62,27,77,90,85,96,38,24
EXT_CONTACT_D,2025-08-06,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,251.544,9,2082,224,1003,12,24,150,127,444,33,65
EXT_CONTACT_E_12PROMAX,2025-08-06,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,299.035,9,9863,208,7626,183,126,277,411,779,246,7
