device,date,role,final_tier,support_class,combined_score,raw_tier,raw_score,raw_axes_present,raw_total_axis_hits,csv_support_score,csv_axes_present,csv_total_hits,raw_trial_ab,csv_trial_ab,raw_cloud_trust,csv_cloud_trust,raw_policy_restriction,csv_policy_restriction,raw_backup_manifest,csv_backup_manifest,raw_telecom_wifi_proximity,csv_telecom_wifi_proximity,raw_daemon_seam,csv_daemon_seam,raw_evidence_pressure,csv_evidence_pressure,raw_lateral_trust,csv_lateral_trust,raw_shadow_cloud_terms,csv_shadow_cloud_terms
USER_DEVICE_MINI2,2025-08-04,USER_CLUSTER_SUPPORT,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,318.885,A_RAW_CORE_0804,245.759,9,1929,168.93,9,23293,156,2212,1251,3751,21,1197,24,3447,114,2680,141,2306,141,4807,27,962,54,1931
USER_ORIGIN_MINI1,2025-08-06,ORIGIN_CORE,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,317.748,B_RAW_WINDOW_SUPPORT,245.821,9,3398,174.076,9,123534,20,10488,2136,13987,14,6651,57,12836,91,15563,864,11129,160,26103,49,13482,7,13295
EXT_UNCERTAIN_B,2025-08-01,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,317.72,B_RAW_WINDOW_SUPPORT,253.3,8,3221,144.057,9,6672,61,434,394,414,11,327,21,352,1722,600,117,1430,816,1228,79,115,0,1772
EXT_CONTACT_D,2025-08-07,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,316.499,B_RAW_WINDOW_SUPPORT,252.461,9,2176,165.824,9,33293,250,3257,980,4790,11,2397,22,3763,141,4040,162,1853,511,6420,33,204,66,6569
EXT_CONTACT_D,2025-08-02,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,316.146,B_RAW_WINDOW_SUPPORT,256.61,9,2500,152.959,9,9461,216,886,1355,883,13,796,118,918,80,915,177,1041,501,1948,39,73,1,2001
EXT_UNCERTAIN_B,2025-08-03,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,315.754,B_RAW_WINDOW_SUPPORT,255.731,9,2353,131.493,9,3377,131,248,203,245,8,193,20,129,795,264,112,562,936,665,109,108,39,963
EXT_CONTACT_D,2025-08-06,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,315.142,B_RAW_WINDOW_SUPPORT,251.544,9,2082,164.565,9,25681,224,2380,1003,3454,12,2102,24,2834,150,3117,127,1370,444,5098,33,215,65,5111
EXT_CONTACT_D,2025-08-08,EXTERNAL_CONTACT_KNOWN,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,313.684,B_RAW_WINDOW_SUPPORT,250.363,9,1945,163.773,9,20759,92,2011,1023,2865,11,1757,107,2209,157,2559,48,1618,402,3894,34,183,71,3663
USER_BRIDGE_15G,2025-08-04,BRIDGE_TO_LATER_JOKER,A_CROSS_CORE_0804,RAW_AND_CSV_RESULT_SUPPORT,306.626,A_RAW_CORE_0804,228.446,9,1195,169.085,9,27413,151,2243,223,2962,2,678,17,2621,287,7215,68,2806,316,5311,27,1444,104,2133
EXT_REMOTE_GEO_C,2025-08-02,EXTERNAL_GEO_SEPARATED,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,303.572,B_RAW_WINDOW_SUPPORT,233.254,9,730,160.91,9,13098,74,1926,61,1463,46,967,123,896,60,1858,68,1038,252,1803,43,352,3,2795
USER_DEVICE_12G,2025-08-05,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,302.779,B_RAW_WINDOW_SUPPORT,237.123,8,1944,170.447,9,36697,598,2937,765,6360,14,1646,24,5739,26,4600,362,2754,129,6898,26,1921,0,3842
USER_DEVICE_11PRO,2025-08-03,USER_CLUSTER_SUPPORT,B_RAW_WINDOW_SUPPORT,RAW_AND_CSV_RESULT_SUPPORT,299.39,B_RAW_WINDOW_SUPPORT,233.893,9,1756,169.992,9,33780,666,3599,508,5512,10,1604,17,4815,51,4768,371,2024,113,6381,19,1404,1,3673
