device,date,trust_lineage_score_raw_only,trust_axes_present_4,context_axes_present_5,triald_direct_on_core_day,cloud_trust,policy_restriction,lateral_trust,backup_manifest,telecom_wifi_proximity,trial_ab,daemon_seam,evidence_pressure,shadow_cloud_terms
EXT_CONTACT_D,2025-08-06,26.801,4,5,NO,1003,12,33,24,150,224,127,444,65
USER_DEVICE_MINI2,2025-08-06,25.839,4,5,NO,688,8,19,71,114,394,436,254,40
EXT_NO_CONTACT_A,2025-08-06,25.777,4,5,NO,769,12,31,28,83,80,84,125,10
USER_BRIDGE_15G,2025-08-06,25.509,4,5,NO,418,7,42,25,348,330,113,370,117
EXT_REMOTE_GEO_C,2025-08-06,24.89,4,5,NO,62,27,38,77,90,59,85,96,24
USER_ORIGIN_MINI1,2025-08-07,41.679,4,5,NO,2457,47,1018,996,6260,2663,1463,6752,20
EXT_CONTACT_E_12PROMAX,2025-08-07,40.661,4,5,NO,10357,238,322,297,165,158,517,485,8
USER_DEVICE_12G,2025-08-07,40.609,4,5,NO,3386,36,311,3069,2200,464,408,3109,66
USER_BRIDGE_15G,2025-08-07,35.509,4,5,NO,831,6,1896,694,1026,308,1392,440,148
EXT_UNCERTAIN_B,2025-08-07,30.534,4,5,NO,713,11,101,114,847,280,254,1008,5
EXT_NO_CONTACT_A,2025-08-07,30.267,4,5,NO,790,10,41,530,187,246,65,868,58
EXT_REMOTE_GEO_C,2025-08-07,27.756,4,5,NO,74,27,129,114,151,120,201,264,19
EXT_CONTACT_D,2025-08-07,26.559,4,5,NO,980,11,33,22,141,250,162,511,66
USER_DEVICE_11PRO,2025-08-07,23.341,4,5,NO,381,13,16,13,111,59,33,97,34
EXT_CONTACT_E_6SPLUS,2025-08-07,21.803,4,3,NO,71,1,33,378,30,0,125,107,0
USER_DEVICE_MINI2,2025-08-07,19.812,4,5,NO,26,2,58,29,70,311,171,358,30
USER_DEVICE_MINI2,2025-08-08,39.046,4,5,NO,2504,37,1576,649,630,336,1539,236,15
USER_ORIGIN_MINI1,2025-08-08,38.515,4,5,NO,1409,46,906,174,4479,2140,1488,5582,19
EXT_CONTACT_E_12PROMAX,2025-08-08,36.769,4,5,NO,8672,87,162,125,153,122,423,370,4
USER_DEVICE_12G,2025-08-08,31.288,4,5,NO,819,11,56,548,458,437,239,703,1
EXT_UNCERTAIN_B,2025-08-08,28.72,4,5,NO,663,10,67,40,1136,171,213,927,36
EXT_CONTACT_D,2025-08-08,28.376,4,5,NO,1023,11,34,107,157,92,48,402,71
EXT_REMOTE_GEO_C,2025-08-08,27.648,4,5,NO,90,39,77,92,93,116,220,458,7
EXT_NO_CONTACT_A,2025-08-08,25.735,4,5,NO,411,6,33,60,355,490,352,209,51
USER_BRIDGE_15G,2025-08-08,24.887,4,4,NO,686,7,54,27,33,64,81,87,0
USER_DEVICE_11PRO,2025-08-08,22.85,4,5,NO,489,8,10,25,67,309,203,103,31
EXT_CONTACT_E_6SPLUS,2025-08-08,15.098,3,3,NO,14,0,6,361,6,0,28,25,0
USER_DEVICE_MINI2,2025-08-09,48.52,4,5,NO,4359,54,15893,9241,6929,398,12558,2638,23
USER_DEVICE_12G,2025-08-09,45.435,4,5,NO,2421,22,11830,2227,23901,225,1589,11662,2
USER_ORIGIN_MINI1,2025-08-09,41.859,4,5,NO,2577,45,1128,1145,5377,2849,2172,6233,46
EXT_CONTACT_D,2025-08-09,39.937,4,5,NO,3712,27,521,1796,1391,179,382,1921,67
USER_BRIDGE_15G,2025-08-09,38.12,4,5,NO,2582,39,98,1960,1733,254,253,2231,115
USER_DEVICE_11PRO,2025-08-09,35.789,4,5,NO,1327,22,116,1509,1059,274,204,1410,2
EXT_CONTACT_E_12PROMAX,2025-08-09,33.996,4,5,NO,5933,48,97,98,98,80,304,266,4
EXT_UNCERTAIN_B,2025-08-09,32.288,4,5,NO,563,14,193,222,1250,142,223,814,40
EXT_NO_CONTACT_A,2025-08-09,27.386,4,5,NO,1039,11,40,38,225,122,149,193,70
EXT_CONTACT_E_6SPLUS,2025-08-09,22.737,4,5,NO,27,11,12,410,135,6,55,42,1
EXT_REMOTE_GEO_C,2025-08-09,12.422,4,4,NO,5,2,6,6,29,41,11,103,0
USER_ORIGIN_MINI1,2025-08-10,41.738,4,5,NO,2918,45,951,1156,5045,1964,1759,5416,49
EXT_UNCERTAIN_B,2025-08-10,36.933,4,5,NO,1599,29,144,1295,1607,295,266,2009,59
EXT_CONTACT_E_12PROMAX,2025-08-10,35.773,4,5,NO,7193,73,139,114,119,119,337,350,1
USER_DEVICE_MINI2,2025-08-10,34.715,4,5,NO,1329,22,51,1401,1183,127,161,1439,27
EXT_CONTACT_D,2025-08-10,34.29,4,5,NO,1831,22,65,787,480,318,231,1207,77
USER_DEVICE_11PRO,2025-08-10,32.204,4,5,NO,862,15,37,957,624,46,55,964,33
EXT_NO_CONTACT_A,2025-08-10,32.042,4,5,NO,1242,21,41,436,410,359,187,510,48
USER_BRIDGE_15G,2025-08-10,31.254,4,5,NO,993,13,36,495,577,185,122,707,123
USER_DEVICE_12G,2025-08-10,28.806,4,5,NO,668,5,42,374,342,278,132,518,48
EXT_CONTACT_E_6SPLUS,2025-08-10,24.199,4,5,NO,58,11,15,481,140,7,62,37,1
EXT_REMOTE_GEO_C,2025-08-10,13.0,4,4,NO,7,6,2,6,17,22,8,159,0
