path,size_bytes,sha256
evidence-index/42b_direct_triald/08_README_VERDICT.txt,1171,00137faafe402f177222e67b35a513538400cdd42bd6bfd6329c2f8d87a6b060
evidence-index/43_trust_graph/00_MASTER_SUMMARY.json,2328,1d6fee29eeabf6e43995c208c617e22a004de695478b957b1e6d83f6826523b1
evidence-index/43_trust_graph/00_input_paths.csv,598,4cfb290d1d109121208751131f2241bcb58f3e49dc05fb97470f2fce4246af5e
evidence-index/43_trust_graph/01_trust_graph_0804_device_matrix.csv,2922,fded7c5ec1af02dbfcaa8f0a9a0ad28e98fc26a27358d72c88ece451f0bde49e
evidence-index/43_trust_graph/02_trust_graph_window_2025_0801_0810.csv,8352,3dfc450633a6e837dda9fcd33e28c2d871c231e869879115bec27d84bbf855e6
evidence-index/43_trust_graph/03_trust_graph_lineage_sequence_0804.csv,2192,f1b768137e79bf14cb5433c7f3c3400a44a4844bcb1861303410d4e2e5f33aea
evidence-index/43_trust_graph/04_trust_source_files_top5_per_device_axis.csv,39660,509a4bb72cf0178e9a17d777e6d576addd62fcb9823bb5f0fb09c4cf313dcfa6
evidence-index/43_trust_graph/05_policy_cloud_backup_lateral_overlap_matrix.csv,2289,ed733276604bfd9e8cada159be4a4bef133c49c5c78255cd0f7852119d9ae9bb
evidence-index/43_trust_graph/06_role_gap_and_claim_boundary_notes.csv,2483,30a5bc0c7839390f7e8eff59906436c2414752a0d472a83a915ee9e94d683229
evidence-index/43_trust_graph/07_triald_direct_overlay_from_42b.csv,2256,46174cbbda1e5a3fcabf6be9d64f36f8ce724ff02aaae84264e9b16c4c9491d4
evidence-index/43_trust_graph/08_README_VERDICT.txt,1384,72681a68a6e5c34b2c15fd472ba38f96f4e6a5c695aa7fcc36577cd341a7eae2
evidence-index/44_backup_manifest/00_MASTER_SUMMARY.json,1609,2ed451ef84650f2b44e7cb42bbd4af2c45a168fe144a901f0704a829d3f87135
evidence-index/44_backup_manifest/00_input_paths.csv,421,f17b5a73c2462e010823e05d9bacb3ce5efa18c0aca16ba7f0115dbba6493c97
evidence-index/44_backup_manifest/01_backup_manifest_0804_device_matrix.csv,4226,fbcf0689900f0899069421704dd19c5da34c6cbfe403224b91c4c97532aedb86
evidence-index/44_backup_manifest/02_backup_manifest_window_2025_0801_0810.csv,14046,b2e01059f5bff17c30d18756a2dfcebdeda600093d69e32ab09994f20f28e303
evidence-index/44_backup_manifest/03_backup_source_files_top10_per_device.csv,11930,f11c2f185d1cf5293e72bb08c8e86504355ee7f7575eb57ce0fd145c61ad9ea2
evidence-index/44_backup_manifest/04_manifest_inventory_device_summary.csv,1238,d8072493ccc49eb876fbf610190fac42813f51bab70355170d113e920270128a
evidence-index/44_backup_manifest/05_backup_manifest_overlap_with_43_trust.csv,2914,5aa29f6789b7121c0e54c1e72a516515551be9bcdb7cd6c66ffb1774136d886d
evidence-index/44_backup_manifest/06_claim_boundary_notes.csv,511,616acf01e801a83698375f1be54fb7014adfbd33db3ff0500f6a96ec8d6730bc
evidence-index/44_backup_manifest/07_README_VERDICT.txt,777,2012b02881d0cdb251dc38828932d5b2757b8c88df922ea676c6fe67145446e8
evidence-index/45_proximity_cloud/00_MASTER_SUMMARY.json,1980,e5945c40b90bbef4dd9c8a0330cbc110db91214c86f0d9f26ac8de3c65b1ddc9
evidence-index/45_proximity_cloud/00_input_paths.csv,316,96633f71d9f3043872689197426a2f2010ae1b7cde26a1223cd358ad8138fdbe
evidence-index/45_proximity_cloud/01_proximity_cloud_0804_device_matrix.csv,7808,3baa0b071632f8aae8b689dbdf6968369cb9ab263815b832dcafca858a1fcf60
evidence-index/45_proximity_cloud/02_proximity_source_files_top10_per_device.csv,14015,d92f64da9e647386ef4fc19b0eb71ad7b67bf865d73135b0e88f8aa8a99ec3b8
evidence-index/45_proximity_cloud/03_contact_separation_matrix.csv,2424,44e5331345dbe594c40b6d0c2bc25e1243ee36a4e74009bd8618550b31bc96a2
evidence-index/45_proximity_cloud/04_proximity_trust_backup_overlap_matrix.csv,3176,da5552abf038c44e8c75f4ec54707fb297f7bcab7ac3916f9f12272c6def8c85
evidence-index/45_proximity_cloud/05_sequence_proximity_cloud_0804.csv,3108,06bea2ad57ba4def3e4c14a18e2039cb47616e4b37f02946a1d0aa0a9b489192
evidence-index/45_proximity_cloud/06_claim_boundary_notes.csv,784,0cc24e1078b21135612c5c09576367d72ffd3c0d719dfb1913b94f33dcf22b60
evidence-index/45_proximity_cloud/07_README_VERDICT.txt,1006,01cfa633eb2b84e54e3ecad49e8713f02e482734938173524a2942fe8c0a522c
evidence-index/46_evidence_preservation/00_MASTER_SUMMARY.json,2065,8ffe0d2d346ed1f0c5ef0c73955a15879c319d01af543763cf8256509ae3bfd3
evidence-index/46_evidence_preservation/00_input_paths.csv,384,7fb642ca590b8440f2b66ccfd8ee26a68ebddca041b5ac0d9106a64fe646b488
evidence-index/46_evidence_preservation/01_evidence_suppression_0804_device_matrix.csv,7337,ee2dd7afb676bc96a91f890a36b192a574c21dbc750e5fead11583f459993756
evidence-index/46_evidence_preservation/02_evidence_source_files_top12_per_device.csv,20314,bf712994d828236f193bd4c0e0c1f7aed9c23d1059ff98cbd1c23b4bf92779c3
evidence-index/46_evidence_preservation/03_evidence_kind_breakdown_0804.csv,4427,7964f46d57717de8a1a345d4498dacc2d7a151743a38394a92229910ea3ecbb2
evidence-index/46_evidence_preservation/04_evidence_trust_backup_proximity_overlap_matrix.csv,3580,6c740b30dc89df5f47b465c9dd6706b916c911a12c2ab257ba3d3e7e1c0a119b
evidence-index/46_evidence_preservation/05_sequence_evidence_pressure_0804.csv,2997,5e7e03c60660be7fedc6e2b139e01dfe5d7c8d6979417394bacf18045b70dd2c
evidence-index/46_evidence_preservation/06_claim_boundary_notes.csv,766,51d717c8a3d0302afc1711a72f959aa42f076f22c7558d37f4eb8d5f262d648a
evidence-index/46_evidence_preservation/07_README_VERDICT.txt,1027,435ee47a96f7cff93e396d50c18fd7f6fccd8e754b085dd6d9ac6e29e97b86a0
evidence-index/47_normal_control/00_MASTER_SUMMARY.json,1598,c7b82312a31f5cddfefde92902577f6ed995431601ebca81162121762c321d95
